product_id,product_name,category,city_name,stock
SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,Hygiene,Chennai,82
SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,Baby Wipes,Chennai,77
SKU2,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,Baby Wipes,Mumbai,863
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,Baby Wipes,Hyderabad,646
SKU7,Tooth & Gum Cleaning Finger Baby Toothbrush(Pack) 1 unit - Rs 85.0,Oral & Nasal Care,Bangalore,390
SKU5,Anti-Bacterial Baby Liquid Cleanser 300 ml - Rs 279,Hygiene,Delhi,156
SKU1,Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,Baby Wipes,Delhi,275
SKU10,Mild Baby Laundry Detergent(Bottle) 1.5 l - Rs 649,Hygiene,Chennai,51
SKU6,Mild Baby Laundry Detergent Refill(Pack) 1 l - Rs 449,Hygiene,Delhi,130
SKU2,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,Baby Wipes,Delhi,188
SKU7,Tooth & Gum Cleaning Finger Baby Toothbrush(Pack) 1 unit - Rs 85.0,Oral & Nasal Care,Hyderabad,305
SKU2,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,Baby Wipes,Hyderabad,407
